ZIP_CODE,CITY,PHYSICAL DELV ADDR,STATE
79705,MIDLAND,612 VETERANS AIRPARK LN,TX
79707,MIDLAND,3304 W WADLEY AVE,TX
79713,ACKERLY,303 W 5TH ST,TX
79714,ANDREWS,110 NW AVENUE H,TX
79718,BALMORHEA,115 N FORT WORTH ST,TX
79719,BARSTOW,211 MACKEY AVE,TX
79730,COYANOSA,2550 N HIGHWAY 1776,TX
79731,CRANE,509 S ALFORD ST,TX
79734,FORT DAVIS,500 SGT GONZALES,TX
79735,FORT STOCKTON,106 E 4TH ST,TX
79741,GOLDSMITH,310 E GULF,TX
79741,GOLDSMITH,310 E GULF,TX
79742,GRANDFALLS,214 N AVENUE D,TX
79743,IMPERIAL,304 E STATE HIGHWAY 11,TX
79745,KERMIT,309 N OAK ST,TX
79748,KNOTT,5900 W FM 846,TX
79749,LENORAH,3298 STATE HIGHWAY 176,TX
79754,MENTONE,111 BELL ST,TX
79755,MIDKIFF,1005 FM 3095,TX
79756,MONAHANS,201 S BETTY AVE,TX
79758,GARDENDALE,4600 E US HIGHWAY 158,TX
79761,ODESSA,200 N TEXAS AVE,TX
79761,ODESSA,200 N TEXAS AVE,TX
79761,ODESSA,200 N TEXAS AVE,TX
79761,ODESSA,200 N TEXAS AVE,TX
79762,ODESSA,4551 E 52ND ST,TX
79762,ODESSA,4551 E 52ND ST,TX
79762,ODESSA,4551 E 52ND ST,TX
79762,ODESSA,4551 E 52ND ST,TX
79764,ODESSA,5200 W UNIVERSITY BLVD,TX
79770,ORLA,3737 N HIGHWAY 285,TX
79772,PECOS,106 W 4TH ST,TX
79776,PENWELL,157 S FM ROAD 1601,TX
79777,PYOTE,211 N ROGERS,TX
79780,SARAGOSA,200 W MAIN,TX
79780,SARAGOSA,200 W MAIN,TX
79780,SARAGOSA,200 W MAIN,TX
79782,STANTON,101 N SAINT MARY,TX
79783,TARZAN,2764 STATE HIGHWAY 176,TX
79785,TOYAH,1984 W FRONTAGE I 20,TX
79788,WICKETT,300 OBRIEN ST,TX
79789,WINK,210 E HENDRICKS BLVD,TX
79835,CANUTILLO,7050 DONIPHAN DR,TX
79836,CLINT,13001 ALAMEDA AVE,TX
79837,DELL CITY,108 N MAIN ST,TX
79837,DELL CITY,108 N MAIN ST,TX
79838,FABENS,605 W MAIN ST,TX
79839,FORT HANCOCK,107 W TEXAS HIGHWAY 20,TX
79849,SAN ELIZARIO,1416 SAN ANTONIO RD,TX
79851,SIERRA BLANCA,1195 EL PASO ST,TX
79853,TORNILLO,19280 COBB ST,TX
79855,VAN HORN,603 W BROADWAY ST,TX
79901,EL PASO,219 E MILLS AVE,TX
79901,EL PASO,219 E MILLS AVE,TX
79901,EL PASO,219 E MILLS AVE,TX
79901,EL PASO,219 E MILLS AVE,TX
79901,EL PASO,219 E MILLS AVE,TX
79901,EL PASO,219 E MILLS AVE,TX
79901,EL PASO,219 E MILLS AVE,TX
79901,EL PASO,219 E MILLS AVE,TX
79901,EL PASO,219 E MILLS AVE,TX
79901,EL PASO,219 E MILLS AVE,TX
79901,EL PASO,219 E MILLS AVE,TX
79901,EL PASO,219 E MILLS AVE,TX
79901,EL PASO,219 E MILLS AVE,TX
79901,EL PASO,219 E MILLS AVE,TX
79901,EL PASO,219 E MILLS AVE,TX
79901,EL PASO,219 E MILLS AVE,TX
79901,EL PASO,219 E MILLS AVE,TX
79902,EL PASO,5981 N MESA ST,TX
79903,EL PASO,3011 E YANDELL DR,TX
79904,EL PASO,4100 HERCULES AVE,TX
79904,EL PASO,4100 HERCULES AVE,TX
79905,EL PASO,4400 E PAISANO DR,TX
79905,EL PASO,4400 E PAISANO DR,TX
79905,EL PASO,4400 E PAISANO DR,TX
79905,EL PASO,4400 E PAISANO DR,TX
79906,EL PASO,1733 PLEASONTON RD,TX
79906,EL PASO,1733 PLEASONTON RD,TX
79907,EL PASO,880 N ZARAGOZA RD,TX
79907,EL PASO,880 N ZARAGOZA RD,TX
79912,EL PASO,7383 REMCON CIR,TX
79912,EL PASO,7383 REMCON CIR,TX
79912,EL PASO,7383 REMCON CIR,TX
79912,EL PASO,7383 REMCON CIR,TX
